filepath,vendor,session,interaction,participant,export_success,used_filepath,sex
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0036/V03_S1825_I00000006_P5039.mp4,V03,S1825,I00000006,P5039,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0038/V03_S1825_I00000007_P5039.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0076/V03_S0509_I00000030_P1659.mp4,V03,S0509,I00000030,P1659,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0066/V03_S0509_I00000034_P1659.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0003/V03_S1054_I00000144_P2614.mp4,V03,S1054,I00000144,P2614,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0003/V03_S1054_I00000144_P2614.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0026/V01_S1650_I00000307_P1721.mp4,V01,S1650,I00000307,P1721,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0033/V01_S1650_I00000140_P1721.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0039/V01_S1267_I00000139_P2283.mp4,V01,S1267,I00000139,P2283,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0035/V01_S1267_I00000309_P2283.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0015/V03_S1825_I00000012_P5038.mp4,V03,S1825,I00000012,P5038,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0015/V03_S1825_I00000012_P5038.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0007/V01_S0218_I00000498_P1405.mp4,V01,S0218,I00000498,P1405,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0050/V01_S0218_I00000132_P1405.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0011/V03_S0861_I00000498_P1659.mp4,V03,S0861,I00000498,P1659,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0059/V03_S0861_I00000385_P1659.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0002/V03_S0600_I00000031_P2597.mp4,V03,S0600,I00000031,P2597,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0002/V03_S0600_I00000031_P2597.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0028/V01_S1874_I00000182_P2760.mp4,V01,S1874,I00000182,P2760,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0050/V01_S1874_I00000186_P2760.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0036/V01_S0195_I00000131_P1362.mp4,V01,S0195,I00000131,P1362,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0039/V01_S0195_I00000134_P1362.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0113/V03_S0213_I00000462_P1467.mp4,V03,S0213,I00000462,P1467,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0098/V03_S0213_I00000138_P1467.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0022/V00_S0731_I00000486_P0500.mp4,V00,S0731,I00000486,P0500,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0022/V00_S0731_I00000486_P0500.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0017/V03_S1870_I00000226_P5266.mp4,V03,S1870,I00000226,P5266,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0035/V03_S1870_I00000198_P5266.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0032/V01_S1553_I00000498_P2547.mp4,V01,S1553,I00000498,P2547,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0050/V01_S1553_I00000387_P2547.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0086/V03_S1221_I00000282_P3779.mp4,V03,S1221,I00000282,P3779,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0066/V03_S1221_I00000283_P3779.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0039/V03_S1169_I00000314_P3731.mp4,V03,S1169,I00000314,P3731,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0039/V03_S1169_I00000314_P3731.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0031/V01_S1402_I00000128_P2423.mp4,V01,S1402,I00000128,P2423,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0035/V01_S1402_I00000131_P2423.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0007/V00_S0589_I00000138_P0743.mp4,V00,S0589,I00000138,P0743,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0032/V00_S0589_I00000129_P0743.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0022/V00_S0428_I00000495_P0561.mp4,V00,S0428,I00000495,P0561,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0037/V00_S0428_I00000514_P0561.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0039/V00_S0557_I00000482_P0043.mp4,V00,S0557,I00000482,P0043,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0003/V00_S0557_I00000520_P0043.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0046/V03_S1605_I00000241_P4590.mp4,V03,S1605,I00000241,P4590,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0079/V03_S1605_I00000533_P4590.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0020/V01_S0158_I00000139_P1289.mp4,V01,S0158,I00000139,P1289,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0003/V01_S0158_I00000138_P1289.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0019/V00_S0627_I00000384_P0779.mp4,V00,S0627,I00000384,P0779,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0032/V00_S0627_I00000385_P0779.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0041/V00_S0691_I00000478_P0840.mp4,V00,S0691,I00000478,P0840,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0041/V00_S0691_I00000478_P0840.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0018/V00_S1045_I00000005_P1067.mp4,V00,S1045,I00000005,P1067,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0008/V00_S1045_I00000007_P1067.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0007/V00_S0675_I00000371_P0832.mp4,V00,S0675,I00000371,P0832,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0006/V00_S0675_I00000503_P0832.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0091/V03_S0225_I00000379_P1519.mp4,V03,S0225,I00000379,P1519,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0082/V03_S0225_I00000376_P1519.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0092/V03_S0766_I00000130_P1656.mp4,V03,S0766,I00000130,P1656,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0099/V03_S0766_I00000471_P1656.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0051/V01_S0213_I00000138_P1396.mp4,V01,S0213,I00000138,P1396,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0003/V01_S0213_I00000137_P1396.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0090/V03_S0208_I00000495_P1454.mp4,V03,S0208,I00000495,P1454,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0068/V03_S0208_I00000377_P1454.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0042/V00_S0521_I00000309_P0566.mp4,V00,S0521,I00000309,P0566,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0004/V00_S0521_I00000461_P0566.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0056/V02_S5120_I00000195_P5155.mp4,V02,S5120,I00000195,P5155,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0050/V02_S5120_I00000730_P5155.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0024/V03_S0503_I00000072_P2455.mp4,V03,S0503,I00000072,P2455,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0061/V03_S0503_I00000073_P2455.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0002/V01_S1874_I00000181_P2759.mp4,V01,S1874,I00000181,P2759,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0051/V01_S1874_I00000179_P2759.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0022/V03_S1952_I00000334_P5328.mp4,V03,S1952,I00000334,P5328,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0034/V03_S1952_I00000337_P5328.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0042/V03_S1920_I00000216_P5375.mp4,V03,S1920,I00000216,P5375,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0048/V03_S1920_I00000218_P5375.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0009/V02_S5114_I00000293_P5125.mp4,V02,S5114,I00000293,P5125,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0008/V02_S5114_I00000197_P5125.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0073/V03_S0921_I00000316_P3164.mp4,V03,S0921,I00000316,P3164,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0033/V03_S0921_I00000329_P3164.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0002/V01_S0103_I00000139_P1194.mp4,V01,S0103,I00000139,P1194,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0047/V01_S0103_I00000307_P1194.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0032/V01_S0220_I00000132_P1409.mp4,V01,S0220,I00000132,P1409,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0004/V01_S0220_I00000462_P1409.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0006/V01_S0157_I00000137_P1287.mp4,V01,S0157,I00000137,P1287,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0034/V01_S0157_I00000309_P1287.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0029/V03_S1920_I00000213_P4602.mp4,V03,S1920,I00000213,P4602,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0023/V03_S1920_I00000221_P4602.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0036/V01_S1264_I00000134_P2279.mp4,V01,S1264,I00000134,P2279,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0003/V01_S1264_I00000132_P2279.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0099/V03_S1096_I00000008_P5628.mp4,V03,S1096,I00000008,P5628,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0015/V03_S1096_I00000001_P5628.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0026/V00_S1823_I00000269_P0115.mp4,V00,S1823,I00000269,P0115,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0003/V00_S1823_I00000265_P0115.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0004/V00_S0548_I00000126_P0695.mp4,V00,S0548,I00000126,P0695,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0008/V00_S0548_I00000135_P0695.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0043/V03_S0861_I00000386_P1662.mp4,V03,S0861,I00000386,P1662,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0061/V03_S0861_I00000384_P1662.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0010/V03_S0600_I00000026_P2596.mp4,V03,S0600,I00000026,P2596,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0060/V03_S0600_I00000035_P2596.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0050/V03_S1870_I00000226_P5267.mp4,V03,S1870,I00000226,P5267,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0033/V03_S1870_I00000196_P5267.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0088/V03_S1605_I00000237_P4591.mp4,V03,S1605,I00000237,P4591,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0062/V03_S1605_I00000250_P4591.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0039/V00_S0586_I00000309_P0739.mp4,V00,S0586,I00000309,P0739,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0003/V00_S0586_I00000139_P0739.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0032/V01_S1267_I00000134_P2284.mp4,V01,S1267,I00000134,P2284,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0004/V01_S1267_I00000309_P2284.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0053/V03_S1417_I00000315_P4105.mp4,V03,S1417,I00000315,P4105,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0046/V03_S1417_I00000317_P4105.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0018/V00_S0062_I00000134_P0093.mp4,V00,S0062,I00000134,P0093,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0023/V00_S0062_I00000462_P0093.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0004/V00_S0426_I00000375_P0564.mp4,V00,S0426,I00000375,P0564,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0015/V00_S0426_I00000135_P0564.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0014/V02_S5054_I00000249_P5063.mp4,V02,S5054,I00000249,P5063,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0066/V02_S5054_I00000738_P5063.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0045/V03_S1755_I00000210_P5061.mp4,V03,S1755,I00000210,P5061,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0050/V03_S1755_I00000346_P5061.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0120/V03_S0139_I00000477_P1302.mp4,V03,S0139,I00000477,P1302,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0079/V03_S0139_I00000479_P1302.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0006/V03_S0503_I00000079_P2454.mp4,V03,S0503,I00000079,P2454,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0068/V03_S0503_I00000073_P2454.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0043/V00_S0080_I00000379_P0115.mp4,V00,S0080,I00000379,P0115,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0022/V00_S0080_I00000382_P0115.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0027/V01_S1650_I00000307_P1514.mp4,V01,S1650,I00000307,P1514,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0034/V01_S1650_I00000498_P1514.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0003/V00_S1997_I00000526_P0399.mp4,V00,S1997,I00000526,P0399,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0042/V00_S1997_I00000186_P0399.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0017/V01_S0157_I00000134_P1288.mp4,V01,S0157,I00000134,P1288,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0050/V01_S0157_I00000309_P1288.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0003/V01_S0281_I00000126_P1600.mp4,V01,S0281,I00000126,P1600,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0013/V01_S0281_I00000137_P1600.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0030/V01_S0066_I00000126_P1125.mp4,V01,S0066,I00000126,P1125,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0030/V01_S0066_I00000126_P1125.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0025/V01_S0283_I00000266_P1603.mp4,V01,S0283,I00000266,P1603,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0013/V01_S0283_I00000269_P1603.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0056/V03_S0240_I00000135_P1531.mp4,V03,S0240,I00000135,P1531,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0086/V03_S0240_I00000126_P1531.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0011/V01_S0108_I00000129_P1204.mp4,V01,S0108,I00000129,P1204,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0034/V01_S0108_I00000632_P1204.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0024/V00_S0937_I00000137_P0868.mp4,V00,S0937,I00000137,P0868,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0030/V00_S0937_I00000125_P0868.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0003/V00_S0350_I00000483_P0470.mp4,V00,S0350,I00000483,P0470,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0003/V00_S0350_I00000483_P0470.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0113/V03_S1498_I00000019_P4104.mp4,V03,S1498,I00000019,P4104,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0014/V03_S1498_I00000049_P4104.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0035/V00_S1469_I00000196_P1144.mp4,V00,S1469,I00000196,P1144,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0023/V00_S1469_I00000198_P1144.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0095/V03_S1662_I00000114_P4768.mp4,V03,S1662,I00000114,P4768,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0095/V03_S1662_I00000114_P4768.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0014/V01_S0163_I00000135_P1299.mp4,V01,S0163,I00000135,P1299,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0050/V01_S0163_I00000138_P1299.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0086/V02_S5120_I00000228_P5154.mp4,V02,S5120,I00000228,P5154,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0060/V02_S5120_I00000204_P5154.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0042/V03_S2084_I00000247_P5678.mp4,V03,S2084,I00000247,P5678,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0012/V03_S2084_I00000241_P5678.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0010/V00_S1220_I00000355_P1112.mp4,V00,S1220,I00000355,P1112,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0012/V00_S1220_I00000181_P1112.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0013/V00_S1823_I00000601_P1174.mp4,V00,S1823,I00000601,P1174,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0003/V00_S1823_I00000277_P1174.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0046/V03_S1618_I00000151_P4602.mp4,V03,S1618,I00000151,P4602,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0046/V03_S1618_I00000151_P4602.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0043/V01_S0218_I00000313_P1406.mp4,V01,S0218,I00000313,P1406,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0035/V01_S0218_I00000135_P1406.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0037/V00_S0360_I00000378_P0484.mp4,V00,S0360,I00000378,P0484,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0035/V00_S0360_I00000381_P0484.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/train/0002/0008/V00_S0143_I00000135_P0205.mp4,V00,S0143,I00000135,P0205,True,/Users/m/datasets/seamless_interaction/naturalistic/train/0002/0008/V00_S0143_I00000135_P0205.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0005/V03_S0997_I00000126_P3431.mp4,V03,S0997,I00000126,P3431,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0066/V03_S0997_I00000313_P3431.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0028/V00_S0274_I00000132_P0370.mp4,V00,S0274,I00000132,P0370,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0040/V00_S0274_I00000135_P0370.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0038/V03_S1715_I00000387_P4892.mp4,V03,S1715,I00000387,P4892,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0112/V03_S1715_I00000543_P4892.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0030/V01_S0163_I00000127_P1297.mp4,V01,S0163,I00000127,P1297,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0001/0004/V01_S0163_I00000125_P1297.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0028/V01_S0108_I00000139_P1203.mp4,V01,S0108,I00000139,P1203,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0004/V01_S0108_I00000498_P1203.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0041/V00_S0152_I00000387_P0217.mp4,V00,S0152,I00000387,P0217,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0035/V00_S0152_I00000376_P0217.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0012/V03_S1731_I00000333_P4935.mp4,V03,S1731,I00000333,P4935,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0115/V03_S1731_I00000335_P4935.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0097/V03_S0120_I00000126_P1264.mp4,V03,S0120,I00000126,P1264,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0097/V03_S0120_I00000307_P1264.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0027/V00_S1220_I00000182_P1113.mp4,V00,S1220,I00000182,P1113,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0001/0015/V00_S1220_I00000188_P1113.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0019/V03_S2028_I00000246_P5493.mp4,V03,S2028,I00000246,P5493,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0003/0008/V03_S2028_I00000237_P5493.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0062/V03_S1232_I00000056_P3836.mp4,V03,S1232,I00000056,P3836,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0059/V03_S1232_I00000068_P3836.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0095/V03_S0225_I00000378_P1518.mp4,V03,S0225,I00000378,P1518,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0015/V03_S0225_I00000140_P1518.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0016/V03_S0509_I00000040_P1736.mp4,V03,S0509,I00000040,P1736,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0002/0050/V03_S0509_I00000027_P1736.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0005/V00_S0522_I00000483_P0665.mp4,V00,S0522,I00000483,P0665,True,/Users/m/datasets/seamless_interaction/naturalistic/dev/0000/0024/V00_S0522_I00000515_P0665.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0107/V03_S1498_I00000017_P4235.mp4,V03,S1498,I00000017,P4235,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0002/0047/V03_S1498_I00000046_P4235.mp4,
/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0028/V00_S0350_I00000520_P0469.mp4,V00,S0350,I00000520,P0469,True,/Users/m/datasets/seamless_interaction/naturalistic/test/0000/0004/V00_S0350_I00000481_P0469.mp4,
